Material, Thickness (cm), Dose (rad), High Risk Events
Aluminum Wall 6mm (BaseLine),6.0,1.5924100000000002e-18,97965
Aluminum Wall 6mm (BaseLine),6.5,1.5925100000000001e-18,97222
Aluminum Wall 6mm (BaseLine),7.0,1.59048e-18,97411
Aluminum Wall 6mm (BaseLine),7.5,1.5840600000000002e-18,96026
Aluminum Wall 6mm (BaseLine),8.0,1.58477e-18,97259
Aluminum Wall 6mm (BaseLine),8.5,1.58738e-18,95856
Aluminum Wall 6mm (BaseLine),9.0,1.5905600000000001e-18,97928
Aluminum Wall 6mm (BaseLine),9.5,1.5892600000000002e-18,98667
Aluminum Wall 6mm (BaseLine),10.0,1.5857800000000002e-18,96911
Aluminum Wall 6mm (BaseLine),10.5,1.5843500000000002e-18,95506
Aluminum Wall 6mm (BaseLine),11.0,1.5919400000000001e-18,98186
Aluminum Wall 6mm (BaseLine),11.5,1.5879900000000002e-18,96834
Aluminum Wall 6mm (BaseLine),12.0,1.5875e-18,96639
Aluminum Wall 6mm (BaseLine),12.5,1.5854400000000002e-18,97097
Aluminum Wall 6mm (BaseLine),13.0,1.5838900000000002e-18,96307
Aluminum Wall 6mm (BaseLine),13.5,1.5795e-18,94805
Aluminum Wall 6mm (BaseLine),14.0,1.5877900000000002e-18,96412
Aluminum Wall 6mm (BaseLine),14.5,1.5804500000000001e-18,95178
Aluminum Wall 6mm (BaseLine),15.0,1.58043e-18,96308
HDPE,2.0,1.5807900000000002e-18,96326
HDPE,2.5,1.5972100000000002e-18,97425
HDPE,3.0,1.6055e-18,98167
HDPE,3.5,1.62172e-18,100408
HDPE,4.0,1.6266400000000002e-18,99108
HDPE,4.5,1.63645e-18,101553
HDPE,5.0,1.64053e-18,101511
HDPE,5.5,1.6522800000000002e-18,102150
HDPE,6.0,1.65784e-18,102545
HDPE,6.5,1.6649e-18,102079
HDPE,7.0,1.6729e-18,104290
HDPE,7.5,1.6874100000000001e-18,106852
HDPE,8.0,1.69413e-18,106132
HDPE,8.5,1.6926300000000001e-18,107128
HDPE,9.0,1.70585e-18,106928
HDPE,9.5,1.7094800000000002e-18,108616
HDPE,10.0,1.7168e-18,108950
HDPE,10.5,1.7160200000000002e-18,109030
HDPE,11.0,1.7318e-18,110217
HDPE,11.5,1.7297700000000002e-18,109683
HDPE,12.0,1.7427e-18,111109
HDPE,12.5,1.74689e-18,110640
HDPE,13.0,1.7470800000000003e-18,110048
HDPE,13.5,1.74985e-18,110073
